0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:23:37 +0800] "GET /ch20/adminGoods/selectGoods HTTP/1.1" 200 1968
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:23:37 +0800] "GET /ch20/adminGoods/selectGoods HTTP/1.1" 200 1968
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:24:01 +0800] "GET /ch20/adminGoods/selectGoods HTTP/1.1" 200 1968
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:24:02 +0800] "GET /ch20/adminGoods/selectGoods HTTP/1.1" 200 1968
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:27:03 +0800] "GET /ch20/before?id=14 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:27:14 +0800] "GET /ch20/adminGoods/toAddGoods HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:27:14 +0800] "GET /ch20/css/images/admin/bb.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:27:41 +0800] "POST /ch20/adminGoods/addGoods HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:27:46 +0800] "GET /ch20/adminGoods/selectAGoods?id=15 HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:27:46 +0800] "GET /ch20/logos/20190923172741306.jpg HTTP/1.1" 200 64766
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:28:15 +0800] "GET /ch20/index HTTP/1.1" 200 9896
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:28:15 +0800] "GET /ch20/logos/20190923172144877.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:28:15 +0800] "GET /ch20/logos/20190923172741306.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:28:15 +0800] "GET /ch20/logos/20190923172116232.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:28:15 +0800] "GET /ch20/images/before/top_4.gif HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:28:26 +0800] "GET /ch20/before?id=17 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:28:31 +0800] "GET /ch20/ HTTP/1.1" 200 9896
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:28:31 +0800] "GET /ch20/logos/20190923172741306.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:28:38 +0800] "GET /ch20/toRegister HTTP/1.1" 200 6452
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:28:38 +0800] "GET /ch20/images/before/my_bj5.gif HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:28:38 +0800] "GET /ch20/images/before/input.gif HTTP/1.1" 200 1114
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:28:38 +0800] "GET /ch20/validateCode HTTP/1.1" 200 1241
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:29:02 +0800] "POST /ch20/user/register HTTP/1.1" 200 4470
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:29:02 +0800] "GET /ch20/validateCode HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:29:14 +0800] "POST /ch20/user/login HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:29:19 +0800] "POST /ch20/user/login HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:29:26 +0800] "GET /ch20/ HTTP/1.1" 200 9977
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:29:26 +0800] "GET /ch20/logos/20190923172741306.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:29:26 +0800] "GET /ch20/logos/20190923172116232.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:29:26 +0800] "GET /ch20/logos/20190923172144877.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:31:48 +0800] "GET /ch20/adminGoods/selectGoods HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:31:48 +0800] "GET /ch20/css/images/admin/bb.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:31:55 +0800] "GET /ch20/adminNotice/toAddNotice HTTP/1.1" 200 1006
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:32:11 +0800] "POST /ch20/adminNotice/addNotice HTTP/1.1" 200 1447
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:32:15 +0800] "GET /ch20/ HTTP/1.1" 200 10081
